

| zeta| #1| #2| #3| #4| #5| #6| #7| #8| #9| #10|
|----:|--:|--:|--:|--:|--:|--:|--:|--:|--:|---:|
|  0.1| 10| 10| 10| 10| 10| 10| 10| 10| 10|  10|
|  0.2| 11| 11| 11| 11| 11| 11| 11| 11| 11|  11|
|  0.3| 11| 11| 11| 11| 11| 12| 11| 11| 11|  11|
|  0.4| 12| 13| 13| 12| 12| 12| 13| 12| 13|  11|
|  0.5| 13| 13| 13| 13| 13| 13| 13| 13| 13|  13|
|  0.6| 14| 14| 14| 13| 14| 14| 14| 13| 13|  13|
|  0.7| 14| 14| 14| 14| 14| 14| 14| 14| 15|  14|
|  0.8| 15| 16| 16| 15| 15| 15| 16| 15| 15|  15|
|  0.9| 13| 13| 13| 13| 13| 13| 13| 13| 13|  13|
|  1.0| 15| 15| 15| 14| 14| 15| 15| 14| 13|  13|
